Business ID,Business Name,Submarket,Timezone,Time Now,Google Link,,Initial Contact Number Scrape
,Vick's Gourmet Pizzeria,Columbus,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Vick's%Gourmet%Pizzeria+Columbus,,"(614) 866-7392, 4871104007, 4873717007"
,Los Gordos Taqueria,Denver/Boulder,Mountain Time (MT),8:27:34 PM,https://www.google.com/search?q=Los%Gordos%Taqueria+Denver/Boulder,,"303-750-0502, (720) 802-6023, (303) 750-0502, (303) 429-9206"
,TailGaters Sports Bar,Huntsville,Central Time (CT),9:27:34 PM,https://www.google.com/search?q=TailGaters%Sports%Bar+Huntsville,,"1648458915, (256) 929-1420, 5520024476, 2499014957, 1587774523"
,The Egg Bistro,Virginia Beach,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=The%Egg%Bistro+Virginia%Beach,,"1689246401, 1492321085, 9284867992, 1622475452"
,Los Mochis Restaurant,"Sulphur Springs, TX",Central Time (CT),9:27:34 PM,"https://www.google.com/search?q=Los%Mochis%Restaurant+Sulphur%Springs,%TX",,"(903) 438-9174, (903) 919-3760, 1000639061, (903) 517-2427"
,PEARL OF THE ISLAND CARIBBEAN CUISINE,Miami,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=PEARL%OF%THE%ISLAND%CARIBBEAN%CUISINE+Miami,,"954 743 2101, (754) 205-4839, (786) 763-1875, (954) 743-2101"
,Plaza Azteca,"Morgantown, WV",Eastern Time (ET),10:27:34 PM,"https://www.google.com/search?q=Plaza%Azteca+Morgantown,%WV",,(304) 241-5566
,L&L Hawaiian Barbecue,Honolulu,Hawaii-Aleutian Time (HAT),5:27:34 PM,https://www.google.com/search?q=L&L%Hawaiian%Barbecue+Honolulu,,1256171680
,Varners Restaurant & Tavern,Atlanta,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Varners%Restaurant%&%Tavern+Atlanta,,"(678) 388-1733, 180321-1925"
,Camila's Mexican Restaurant,Indianapolis,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Camila's%Mexican%Restaurant+Indianapolis,,"317-530-2381, (317) 530-2381, 1000635890"
,Barrio,Minneapolis,Central Time (CT),9:27:34 PM,https://www.google.com/search?q=Barrio+Minneapolis,,"(612) 333-9953, 612-333-9953"
,Atwoods Pizza,Atlanta,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Atwoods%Pizza+Atlanta,,"404 748-9577, (404) 748-9577"
,Salsa Tex Mex,Dallas,Central Time (CT),9:27:34 PM,https://www.google.com/search?q=Salsa%Tex%Mex+Dallas,,"5519394487, 1487445873, 1814725483, 1615856165, 214.741.9453, 9096031981"
,El Charro Restaurant,Detroit,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=El%Charro%Restaurant+Detroit,,"2297941577, 7449650953, (586) 779-5060, 3770158612"
,Davenports Pizza Palace,Birmingham,Central Time (CT),9:27:34 PM,https://www.google.com/search?q=Davenports%Pizza%Palace+Birmingham,,(205) 879-8603
,Wild River Brewing & Pizza,"Medford, OR",Pacific Time (PT),7:27:34 PM,"https://www.google.com/search?q=Wild%River%Brewing%&%Pizza+Medford,%OR",,Not Found
,Tricky Fish,Fort Worth,Central Time (CT),9:27:34 PM,https://www.google.com/search?q=Tricky%Fish+Fort%Worth,,"817-731-5882, (817) 731-5882"
,Mr. Sushi,Cincinnati,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Mr.%Sushi+Cincinnati,,"(513) 827-9345, 1550004535, 5056531134"
,Loco Mexican Restaurant & Cantina,Indianapolis,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Loco%Mexican%Restaurant%&%Cantina+Indianapolis,,"8576547806, 9727498715, 2768720892"
,The Great Dane,"Wausau, WI",Central Time (CT),9:27:34 PM,"https://www.google.com/search?q=The%Great%Dane+Wausau,%WI",,"715-845-8800, (715) 845-5900, (715) 845-3000, 715-845-3000"
,Patrizia's,Central Jersey,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Patrizia's+Central%Jersey,,"1693228507, 1814618591, 7601739108, 1691345672, (732) 741-5555, 0131522619, 7214517868"
,Giuseppes Bar & Grille,Las Vegas,Pacific Time (PT),7:27:34 PM,https://www.google.com/search?q=Giuseppes%Bar%&%Grille+Las%Vegas,,"1369470858, 4382544192, (607) 524-5373, 2464619369, 518-686-7700, (978) 720-8339, 0095038078, 1000637026"
,The Hideaway,Baltimore,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=The%Hideaway+Baltimore,,"(443) 826-9197, 443-652-2402, (410) 874-7300"
,Bavaro's Pizza Napoletana & Pastaria,Tampa,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Bavaro's%Pizza%Napoletana%&%Pastaria+Tampa,,Not Found
,Kapow! Noodle Bar,Palm Beach,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Kapow!%Noodle%Bar+Palm%Beach,,"189-4453085, 3218797552, (561) 933-4011"
,El Toro,San Francisco,Pacific Time (PT),7:27:34 PM,https://www.google.com/search?q=El%Toro+San%Francisco,,"4025338005, 5515898252"
,Castro Indian Restaurant & Bar,San Francisco,Pacific Time (PT),7:27:34 PM,https://www.google.com/search?q=Castro%Indian%Restaurant%&%Bar+San%Francisco,,"(415) 875-9141, 415-875-9141"
,Cafe Del Sol,"Hagerstown, MD",Eastern Time (ET),10:27:34 PM,"https://www.google.com/search?q=Cafe%Del%Sol+Hagerstown,%MD",,"1716567549, (301) 739-3072, 3916949609, 1834578556, (240) 707-6276, 1838720295, 1225372413, 1740296090"
,Main St. Dragon,Richmond,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Main%St.%Dragon+Richmond,,(804) 342-1800
,Ali's Pizzeria,San Antonio,Central Time (CT),9:27:34 PM,https://www.google.com/search?q=Ali's%Pizzeria+San%Antonio,,"1379066477, 9636600232"
,Greek Islands,Omaha,Central Time (CT),9:27:34 PM,https://www.google.com/search?q=Greek%Islands+Omaha,,"015452.1730, 351132.2490, (402) 346-1528"
,Hash House A Go Go,Orlando,Eastern Time (ET),10:27:34 PM,https://www.google.com/search?q=Hash%House%A%Go%Go+Orlando,,"407-370-4646, (407) 370-4646, 407.205.0330"
